OBJECTID,Codigo,Texto,Cod_CCAA,provNombre,provCodigo,GastoTotalSuministroAgua2019,GastoTotalSuministroAgua2018,GastoTotalSuministroAgua2017,GastoTotalSuministroAgua2016,GastoTotalSuministroAgua2015,GastoTotalAguaMineral2019,GastoTotalAguaMineral2018,GastoTotalAguaMineral2017,GastoTotalAguaMineral2016,GastoTotalAguaMineral2015,NumeroFamilias2019,NumeroFamilias2018,NumeroFamilias2017,NumeroFamilias2016,NumeroFamilias2015,GastoSuministroAgua2019,GastoSuministroAgua2018,GastoSuministroAgua2017,GastoSuministroAgua2016,GastoSuministroAgua2015,GastoAguaMineral2019,GastoAguaMineral2018,GastoAguaMineral2017,GastoAguaMineral2016,GastoAguaMineral2015,Shape__Area,Shape__Length
11,11,Cádiz,01,Cadiz,11,92638295.38,87169742.65,100805451.53,93287666.73,110035198.05,31128663.35,32644452.75,32566829.85,27238581.84,30230012.99,508319,510886,520172,490027,480607,182.244408294791,170.624645517787,193.792536949317,190.372503413077,228.950468990256,61.2384415101541,63.8977242476795,62.607810205086,55.5858796352038,62.8996518777296,11546868269.1484,895168.017709236
12,12,Castellón/Castelló,10,Castello,12,47978770.3,46449420.56,47189939.94,47655556.32,51433637.28,20043835.62,20317130.54,18875188.79,19173249.75,18152694.1,229910,230857,229375,226283,226736,208.68500848158,201.204297725432,205.732708185286,210.601575549202,226.843718156799,87.1812257840024,88.0074268486552,82.289651400545,84.7312867073532,80.060925922659,11396499067.36,688902.623434713
13,13,Ciudad Real,08,Ciudad Real,13,24269990.22,27631708.09,25725768.63,25944092.42,28645737.97,11967348.59,10246652.99,12705418.4,12572176.47,11759372.79,202944,208867,209261,204758,203907,119.589592301325,132.293316273035,122.936278761929,126.706123423749,140.484328492891,58.9687233423999,49.0582666960314,60.7156536573944,61.400172252122,57.6702751254248,32784774732.2095,1226477.66409151
14,14,Córdoba,01,Cordoba,14,54997976.91,56678219.22,57464120.88,51880750.91,64276285.72,17277275.16,20000415.46,18759738.3,16635212.43,15052797.51,315652,325030,327419,316193,314387,174.23611100199,174.378424206996,175.50637220198,164.079378449238,204.449566044398,54.7351993968041,61.5340598098637,57.295814537336,52.6109446761946,47.8798344397192,22210490642.4731,1035878.973075
15,15,"Coruña, A",12,A Coruña,15,53634671.38,55544717.56,69257291.16,62627974.61,57984891.8,22171410.71,26619888,24115472.6,21033472.65,18253875.62,470092,488851,498151,471476,468432,114.093988793683,113.623000791652,139.028710491397,132.833854978832,123.785078303788,47.1639821779567,54.4539910934006,48.4099652515,44.6119689019165,38.9680372391297,14932452787.3169,1672057.5121729
16,16,Cuenca,08,Cuenca,16,10238212.24,11573952.69,11190831.66,10936138.54,10771664.43,4597192.15,5449951.4,4503224.76,5449848.48,4656524.74,84352,88297,88428,86873,86112,121.374860584219,131.079795349785,126.553033654499,125.886507200166,125.089005365106,54.5000966189302,61.7229509496359,50.925326367214,62.7335130592935,54.0752129784467,29155969980.5502,1004138.94793813
17,17,Girona,09,Girona,17,72223634.75,70561196.0599999,70882310.58,62429817.65,70850297.07,27517489.38,28816489.83,24896440.66,22756773.63,22761699.6,354058,351088,344547,311077,312067,203.988145303877,200.978660791596,205.726100009578,200.689275163384,227.035531055831,77.7202870151218,82.0776837431071,72.2584746348103,73.1547932826921,72.9385023087991,10752045043.2697,1069710.72320252
18,18,Granada,01,Granada,18,68330777.66,71662821.9,68911420.04,63518895.48,78442972.1999999,20590789.33,26069969.68,22166968.34,19446974.11,18584060.98,388521,390408,389062,365959,357979,175.874090872823,183.558794645602,177.121949817767,173.56833820182,219.127301322144,52.9978799858952,66.7762179053708,56.9754135330616,53.1397618585689,51.913830085005,20029967227.3491,901312.296561471
19,19,Guadalajara,08,Guadalajara,19,13229645.78,11894886.73,14398654.57,12922168.1,13599211.95,6273359.60000001,5013462.91,5551846.12,6227877.83,5512204.08000001,101493,101628,103162,102083,103029,130.350327411743,117.043400736018,139.573239855761,126.58491717524,131.994020615555,61.810761333294,49.3315120832841,53.8167747814118,61.007982034227,53.5014809422591,21341530336.5983,1082690.38479346
20,20,Gipuzkoa,16,Gipuzkoa,20,46228457.89,45512921.6,49580681.87,45712836.11,37755192.49,7174857.55,7644462.02,8293882.17,8447110.69,6181540.96,341132,348443,363107,340274,332051,135.514867822427,130.617982281177,136.545651474634,134.341254724134,113.702992883623,21.0324963650434,21.9389168960203,22.8414273754017,24.8244376296749,18.6162395535626,3756971204.40619,476274.801984562
21,21,Huelva,01,Huelva,21,38328341.47,41642643.1,39234577.57,34213981.97,42459215.73,11561665.95,13460665.94,12292037.39,11590360.11,10351220.24,216590,218090,219715,207343,202035,176.962655108731,190.942469164107,178.57031868557,165.0115121803,210.157723810231,53.3804236114317,61.7206930166445,55.9453719136154,55.8994521638059,51.2347872398347,16153285363.3616,834998.550465581
22,22,Huesca,02,Huesca,22,10906616.96,10598337.41,12001061.77,12174204.46,14344433.16,6556318.94,5435902.85,4664903.91,4509600.05,3214513.24,98826,100834,102791,97687,97529,110.361817335519,105.106783525398,116.752067496182,124.624611872614,147.078644915871,66.3420450083986,53.9094239046353,45.382415872985,46.1637684645859,32.959563206841,28522888954.7057,1093487.15699788
23,23,Jaén,01,Jaen,23,49150261.19,53114707.84,50909925.59,46505928.02,57077105.19,14814949.68,19392346.56,16705815,14087562.65,13889530.93,281844,294677,304120,287039,278128,174.388176402549,180.247212507254,167.400781237669,162.019544452148,205.218838772076,52.5643607101801,65.8088230842584,54.9316552676575,49.0789148861305,49.9393478182707,21780119666.3036,848386.944837342
24,24,León,07,Leon,24,22582613.92,22451482.51,25875755.64,23829433.19,21865602.53,8058488.88,8771259.96,10469874.83,9993125.53,8337889.28,214647,225580,230290,218850,223363,105.208150684612,99.5278061441617,112.361612054366,108.884775828193,97.8926793157327,37.5429839690282,38.8831454916216,45.4638709019063,45.6619855151931,37.328873985396,28794563955.8223,1141073.61239586
25,25,Lleida,09,Lleida,25,38030141.96,38728431.01,38143621.31,34491878.86,39286762.96,17335521.01,15289018.14,12758251.55,14044407.39,12032736.8,194117,192117,194783,183304,180387,195.913505566231,201.587735650671,195.826233860244,188.167627875005,217.791542406049,89.3044968240803,79.5818076484642,65.4998205695569,76.6181173896914,66.7051217659809,22090712771.7414,1149185.23747149
26,26,"Rioja, La",17,La Rioja,26,16327238.44,17456447.57,19795873.69,16933384.96,15751284.07,5745947.07,6327198.51,6804619.86999999,6197800.11,5067711.42999999,133936,138669,139960,132834,134482,121.903285449767,125.885724783477,141.439509074021,127.477791529277,117.125593536681,42.9006918976228,45.6280676286697,48.6183185910259,46.6582359185148,37.6831950000743,9220827616.07568,780009.830592369
27,27,Lugo,12,Lugo,27,13952186.34,17916920.11,15984021.86,15124888.63,14431890.04,6410674.63,9734152.28,6072207.23,5273136.82,5315685.35,153683,161852,166781,162395,158575,90.7854892213192,110.699405073771,95.8383860271854,93.1364181778996,91.0098693993378,41.7136223915462,60.1423045745496,36.4082673086263,32.4710540349149,33.5215850543907,18447358256.4355,987980.724562271
