#,¿En qué rango de edad te encuentras?,¿Cuántas personas sois en vuestro hogar?,¿En qué provincia vives? Vamos a conocernos un poco mejor 😄,¿De cuál de estos temas te interesaría saber más?,¿Cuánto duran tus duchas?,¿Cuántas veces pones la lavadora a la semana?,¿Cuántas veces pones el lavavajillas?,¿Sueles poner el modo *ECO *en tus electrodomésticos?,¿Reciclas agua para usarlo en otras tareas?,"¿*Reciclas *vidrio, cartón y plástico?",¿Cada cuánto consumes *carne*?,¿Cuántos km haces a la semana en coche?,¿Cuánto gastas al mes en comida para gato/perro?,¿Cuántos metros cuadrados tiene tu jardín?,¿Sabes cuánto dinero gastas en tu consumo de agua al mes?,Start Date (UTC),Submit Date (UTC),Network ID,Tags
s6vm5svgtd3uous6vm7ehi5c5i08c1p1,Entre 18 y 35 años,2,Valladolid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,A veces,1 vez al día,Más de 200 km,Entre 50 y 100 €,0,Entre 10€ y 40 €,2023-05-16 12:58:09,2023-05-16 13:00:08,5db8744717,
2cticom498avmls5r2cticke5qkd71v1,Entre 18 y 35 años,2,Madrid,Conocer mi huella hídrica,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,No uso coche,Entre 50 y 100 €,0,Más de 40 €,2023-05-16 12:57:39,2023-05-16 12:59:45,edfce48e62,
dhqxl4981lu33ccv4dhqdp5hab6gyn9h,Entre 18 y 35 años,4,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,Si,A veces,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Ni idea!,2023-05-16 12:56:22,2023-05-16 12:59:06,8cdcfb32e6,
p424bbdgiy3ncy9j9sp424b4vgy3fvej,Entre 18 y 35 años,2,Cáceres,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 12:57:21,2023-05-16 12:58:53,946030bd15,
r76zq9jfc92yj741s9ap1r76zq8i5oso,Entre 18 y 35 años,1,Santa Cruz de Tenerife,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Menos de 10 €,2023-05-16 12:55:40,2023-05-16 12:57:52,8ffcb52b40,
zt4eod3z9x9aokcgzt0fhhmhwi50jcs9,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 12:56:07,2023-05-16 12:57:37,bb50ea91cb,
zkenqgjvvadhmaj01cwkbv1zkenqgjvz,Entre 18 y 35 años,2,Barcelona,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Más de 40 €,2023-05-16 12:54:55,2023-05-16 12:56:28,f679334036,
eumant5j95q2y9g3wxqeumanbp7w0xnb,Entre 18 y 35 años,5,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Ni idea!,2023-05-16 12:54:21,2023-05-16 12:56:05,40469c88a5,
7ax6g1cajp8hpdd7q8u657ax6g1gv068,Entre 18 y 35 años,3,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,Nunca!,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 12:52:44,2023-05-16 12:54:05,14447e66e6,
o0kx9w4ig088yqe8gdzno0kx9qqmfasz,Entre 18 y 35 años,2,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,50,Entre 10€ y 40 €,2023-05-16 12:50:14,2023-05-16 12:53:34,ea3cd23ef6,
