#,¿En qué rango de edad te encuentras?,¿Cuántas personas sois en vuestro hogar?,¿En qué provincia vives? Vamos a conocernos un poco mejor 😄,¿De cuál de estos temas te interesaría saber más?,¿Cuánto duran tus duchas?,¿Cuántas veces pones la lavadora a la semana?,¿Cuántas veces pones el lavavajillas?,¿Sueles poner el modo *ECO *en tus electrodomésticos?,¿Reciclas agua para usarlo en otras tareas?,"¿*Reciclas *vidrio, cartón y plástico?",¿Cada cuánto consumes *carne*?,¿Cuántos km haces a la semana en coche?,¿Cuánto gastas al mes en comida para gato/perro?,¿Cuántos metros cuadrados tiene tu jardín?,¿Sabes cuánto dinero gastas en tu consumo de agua al mes?,Start Date (UTC),Submit Date (UTC),Network ID,Tags
tio8hfqtdmhav35p7asnf36ratio8hfq,Entre 36 y 65 años,3,Segovia,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,20,Más de 40 €,2023-05-16 13:46:20,2023-05-16 13:47:27,ed28e68030,
ugzwde8nd4uanrorengl4ugzwde8ilty,Entre 36 y 65 años,3,Segovia,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,1 vez al día,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,Más de 100 €,0,Entre 10€ y 40 €,2023-05-16 13:45:46,2023-05-16 13:47:19,c57c8d3b89,
cycn16tcatl3n9fcycnaygmm87xpvlri,Entre 18 y 35 años,4,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,1 vez al día,A veces,Si,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 13:40:50,2023-05-16 13:42:57,515c84bb9f,
6eep2cqzwig8ulm622l2zwyj6eep2ca1,Entre 36 y 65 años,3,Huesca,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:39:21,2023-05-16 13:42:32,8217348430,
q88n9ppercvl482er7m6q88n9pcda1d9,Entre 18 y 35 años,4,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Más de 40 €,2023-05-16 13:32:40,2023-05-16 13:41:43,2765f59224,
k2f51j808l4r1uhsxk2f51zdr7i3xu49,Entre 36 y 65 años,4,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 13:38:44,2023-05-16 13:41:09,6ef44718cd,
6e6vp5ytkjnn1c5eg6e6vp5ktlse8ert,Entre 36 y 65 años,4,Sevilla,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,,Ni idea!,2023-05-16 13:38:26,2023-05-16 13:39:49,307e7e68d2,
vrqr3hc7nf2rvwvr882wzvm00r4t4w88,Entre 36 y 65 años,1,Cuenca,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Menos de 10 €,2023-05-16 13:36:21,2023-05-16 13:38:40,e31f97220d,
gxj0v1wxkfaggsj8p2gxj0v19yrkavv1,Entre 36 y 65 años,3,Huesca,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Ni idea!,2023-05-16 13:36:30,2023-05-16 13:38:26,8dea96ae8c,
5s36nc9u7bd0lqpfr5s36pk5pe0qk8sj,Menor de 18 años,4,Huesca,Ahorrar agua,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,0,Ni idea!,2023-05-16 13:36:11,2023-05-16 13:37:14,2c6917dcbb,
s5k4a5hyfi9x2lv6s5k4th12gvba7iu0,Menor de 18 años,4,Huesca,Ahorrar agua,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,0,Ni idea!,2023-05-16 13:34:31,2023-05-16 13:35:52,2c6917dcbb,
00alc9esm7tk2jrrtiaw00alc9eqf4l2,Entre 18 y 35 años,4,Segovia,Conocer mi huella hídrica,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez al día,No uso coche,Entre 50 y 100 €,0,Más de 40 €,2023-05-16 13:32:53,2023-05-16 13:34:36,43c5e5b9b2,
use8p52bg8gqy6j9i22fi0use8p56gpp,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez a la semana,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:31:32,2023-05-16 13:34:17,ff181448b0,
trizi02cmskmlqlbtriz6vs80v8qecsm,Entre 36 y 65 años,4,Huesca,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €,2023-05-16 13:32:00,2023-05-16 13:33:51,2c6917dcbb,
ruzvwoh29c89w38oruz3exfa9z41tei6,Entre 36 y 65 años,2,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,A veces,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,0,Entre 10€ y 40 €,2023-05-16 13:31:40,2023-05-16 13:33:18,32964c4160,
tm2gqj22nkl2z0f82ctm2gqjpr9t1w8k,Mayor de 65 años,4,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:30:34,2023-05-16 13:32:34,45976f5c60,
nydb27iuviedip3m6nydb27pvifq4j4n,Entre 18 y 35 años,4,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Ni idea!,2023-05-16 13:28:55,2023-05-16 13:30:33,bf2dc19c45,
uw7pudx0yv8f3rx0is0uw7ppffvhnu3q,Mayor de 65 años,2,Las Palmas,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,Si,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2023-05-16 13:23:06,2023-05-16 13:25:55,a779e8cbb9,
m3gkg19t32mjiflq7m3gkq52s9m1w3h4,Entre 18 y 35 años,1,Cantabria,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez al día,Menos de 100 km,No tengo mascota,,Menos de 10 €,2023-05-16 13:22:18,2023-05-16 13:23:50,ec5106cda1,
n25qplufbxylx8pn25qgeeux3s2nkor9,Entre 18 y 35 años,4,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2023-05-16 13:21:15,2023-05-16 13:22:31,af869c5e29,
