,Age,Residents,Province,Interests,Shower,WashingMachine,DishWasher,EcoMode,WaterRecycling,GeneralRecycling,Meat,Gasoline,Pet,Garden,Estimation,AnnualWaterFootprint,DiaryWaterFootprint,AnnualCost,DiaryCost,AnnualDirectWaterFootprint,DiaryDirectWaterFootprint,DirectAnnualCost,DirectDiaryCost
26,Entre 36 y 65 años,4,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,0,Ni idea!,3036740,8319.84,5800174,15890.89,14132.99,38.72,26994.0,73.96
27,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2644828,7246.1,5051621,13840.06,37207.99,101.94,71067.25,194.7
28,Entre 36 y 65 años,5,Segovia,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,1 vez al día,No sabía que existía ese modo,No,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €,3035817,8317.31,5798411,15886.06,12480.0,34.19,23836.8,65.31
29,Entre 18 y 35 años,4,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez a la semana,Menos de 100 km,Entre 50 y 100 €,0,Ni idea!,2502030,6854.88,4778877,13092.81,58795.66,161.08,112299.71,307.67
30,Entre 18 y 35 años,2,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Más de 40 €,2723987,7462.98,5202815,14254.29,161032.99,441.19,307573.0,842.67
31,Entre 36 y 65 años,2,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,Si,Siempre,Nunca!,100 - 200 km,No tengo mascota,0,Ni idea!,2074828,5684.46,3962921,10857.32,160707.99,440.3,306952.25,840.97
32,Entre 18 y 35 años,2,Asturias,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,Entre 50 y 100 €,0,Entre 10€ y 40 €,3333725,9133.49,6367414,17444.97,142970.66,391.7,273073.96,748.15
33,Entre 18 y 35 años,5,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2608230,7145.83,4981719,13648.54,45275.66,124.04,86476.51,236.92
34,Entre 36 y 65 años,5,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,Si,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,94,Menos de 10 €,3220264,8822.64,6150704,16851.24,29675.66,81.3,56680.51,155.29
35,Entre 36 y 65 años,1,Cantabria,Ahorrar dinero,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,A veces,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2580679,7070.35,4929096,13504.37,138174.65,378.56,263913.59,723.05
36,Entre 18 y 35 años,2,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2569230,7038.99,4907229,13444.46,6275.66,17.19,11986.51,32.84
37,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,Nunca!,1 vez a la semana,Más de 200 km,Entre 50 y 100 €,500,Más de 40 €,2566488,7031.47,4901992,13430.12,23687.99,64.9,45244.05,123.96
38,Entre 18 y 35 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,Nunca!,No uso coche,Menos de 50 €,10,Entre 10€ y 40 €,1691629,4634.6,3231011,8852.09,19795.66,54.23,37809.71,103.59
39,Entre 36 y 65 años,4,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,100 - 200 km,No tengo mascota,50,Entre 10€ y 40 €,3273253,8967.82,6251913,17128.53,37532.99,102.83,71688.0,196.41
40,Entre 36 y 65 años,2,Madrid,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,Nunca!,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,1982161,5430.58,3785927,10372.4,142970.66,391.7,273073.96,748.15
