,Age,Residents,Province,Interests,Shower,WashingMachine,DishWasher,EcoMode,WaterRecycling,GeneralRecycling,Meat,Gasoline,Pet,Garden,Estimation,AnnualWaterFootprint,DiaryWaterFootprint,AnnualCost,DiaryCost,AnnualDirectWaterFootprint,DiaryDirectWaterFootprint,DirectAnnualCost,DirectDiaryCost
286,Entre 18 y 35 años,2,Toledo,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez a la semana,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €,2411665,6607.3,4606281,12619.95,137307.99,376.19,262258.25,718.52
287,Entre 36 y 65 años,2,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,No sabía que existía ese modo,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Ni idea!,2557823,7007.74,4885443,13384.77,25133.33,68.86,48004.67,131.52
288,Entre 36 y 65 años,3,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,0,Ni idea!,3195696,8755.33,6103779,16722.68,172358.33,472.21,329204.42,901.93
289,Entre 18 y 35 años,4,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Ni idea!,3250283,8904.88,6208041,17008.33,14132.99,38.72,26994.0,73.96
290,Entre 18 y 35 años,2,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,Si,Siempre,Nunca!,100 - 200 km,No tengo mascota,0,Ni idea!,2062753,5651.38,3939859,10794.13,148633.33,407.21,283889.67,777.78
291,Entre 18 y 35 años,5,Madrid,Ahorrar agua,Entre 11 y 15 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2622291,7184.36,5008576,13722.13,59337.33,162.57,113334.29,310.5
292,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Más de 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,Nunca!,Menos de 100 km,Entre 50 y 100 €,0,Más de 40 €,1885725,5166.37,3601735,9867.77,15541.32,42.58,29683.92,81.33
293,Mayor de 65 años,3,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Más de 5,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Más de 40 €,2616087,7167.36,4996726,13689.66,53132.99,145.57,101484.0,278.04
294,Entre 36 y 65 años,3,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,50,Entre 10€ y 40 €,3209795,8793.96,6130708,16796.46,19470.66,53.34,37188.96,101.89
295,Entre 18 y 35 años,4,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,A veces,Si,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Menos de 10 €,3333861,9133.87,6367675,17445.69,143837.33,394.07,274729.29,752.68
296,Entre 18 y 35 años,4,Toledo,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2623755,7188.37,5011371,13729.78,14674.65,40.2,28028.59,76.79
297,Entre 36 y 65 años,4,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez a la semana,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2507696,6870.4,4789699,13122.46,19795.66,54.23,37809.71,103.59
298,Entre 36 y 65 años,6,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2600487,7124.62,4966930,13608.03,37532.99,102.83,71688.0,196.41
299,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Nunca!,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,3176083,8701.6,6066319,16620.05,14132.99,38.72,26994.0,73.96
300,Mayor de 65 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,No sabía que existía ese modo,No,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Ni idea!,2620288,7178.87,5004751,13711.65,11938.33,32.71,22802.22,62.47
301,Entre 18 y 35 años,4,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €,2420280,6630.9,4622735,12665.03,24012.99,65.79,45864.8,125.66
302,Entre 18 y 35 años,5,Madrid,Ahorrar agua,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2701859,7402.35,5160550,14138.49,138174.65,378.56,263913.59,723.05
303,Entre 18 y 35 años,5,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,No sabía que existía ese modo,No,Nunca!,1 vez al día,Más de 200 km,No tengo mascota,0,Más de 40 €,3299988,9041.06,6302978,17268.43,11938.33,32.71,22802.22,62.47
304,Entre 36 y 65 años,5,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,50,Entre 10€ y 40 €,2453578,6722.13,4686334,12839.27,58470.66,160.19,111678.96,305.97
305,Entre 18 y 35 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2606150,7140.14,4977746,13637.66,43195.66,118.34,82503.71,226.04
306,Entre 36 y 65 años,3,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez a la semana,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €,2288490,6269.84,4371017,11975.39,14132.99,38.72,26994.0,73.96
307,Entre 36 y 65 años,2,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,Si,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,3183448,8721.78,6080386,16658.59,23687.99,64.9,45244.05,123.96
308,Entre 36 y 65 años,1,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,A veces,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2462705,6747.14,4703766,12887.03,19470.66,53.34,37188.96,101.89
309,Entre 18 y 35 años,2,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!,3303461,9050.58,6309610,17286.6,142970.66,391.7,273073.96,748.15
310,Entre 18 y 35 años,5,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,0,Más de 40 €,2593171,7104.58,4952957,13569.75,30217.33,82.79,57715.09,158.12
311,Entre 36 y 65 años,5,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Más de 5,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez a la semana,100 - 200 km,Menos de 50 €,0,Entre 10€ y 40 €,2373291,6502.17,4532986,12419.14,52807.99,144.68,100863.25,276.34
312,Entre 18 y 35 años,4,Cádiz,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez al día,100 - 200 km,Menos de 50 €,10,Ni idea!,3112719,8528.0,5945293,16288.47,43195.66,118.34,82503.71,226.04
313,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,A veces,No,A veces,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Ni idea!,2402543,6582.31,4588857,12572.21,6275.66,17.19,11986.51,32.84
314,Entre 18 y 35 años,5,Madrid,Ahorrar dinero,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,No sabía que existía ese modo,Si,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Ni idea!,2443341,6694.08,4666781,12785.7,48533.33,132.97,92698.67,253.97
315,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,100 - 200 km,Menos de 50 €,0,Entre 10€ y 40 €,2460404,6740.83,4699372,12874.99,19470.66,53.34,37188.96,101.89
316,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Ni idea!,2485700,6810.14,4747686,13007.36,43195.66,118.34,82503.71,226.04
317,Entre 18 y 35 años,3,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,A veces,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2758038,7556.27,5267853,14432.47,148958.33,408.11,284510.42,779.48
318,Entre 18 y 35 años,4,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Más de 5,Friego a mano,A veces,Si,A veces,1 vez cada 3 días,No uso coche,No tengo mascota,0,Ni idea!,2714986,7438.32,5185623,14207.19,182295.66,499.44,348184.71,953.93
319,Entre 18 y 35 años,1,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2745658,7522.35,5244207,14367.69,137307.99,376.19,262258.25,718.52
320,Entre 18 y 35 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,3174623,8697.6,6063530,16612.41,14132.99,38.72,26994.0,73.96
321,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,No,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,3334780,9136.38,6369429,17450.49,143295.66,392.59,273694.71,749.85
322,Entre 18 y 35 años,4,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Más de 200 km,No tengo mascota,50,Entre 10€ y 40 €,2701556,7401.52,5159971,14136.91,43195.66,118.34,82503.71,226.04
323,Entre 36 y 65 años,2,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,Más de 200 km,No tengo mascota,50,Menos de 10 €,2672898,7323.01,5105235,13986.95,13807.99,37.83,26373.25,72.26
324,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,800,Entre 10€ y 40 €,2537970,6953.34,4847523,13280.89,137632.99,377.08,262879.0,720.22
325,Entre 18 y 35 años,3,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Nunca!,1 vez a la semana,100 - 200 km,Menos de 50 €,0,Entre 10€ y 40 €,2471443,6771.08,4720457,12932.76,149500.0,409.59,285545.0,782.32
326,Entre 18 y 35 años,2,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,40,Entre 10€ y 40 €,3273923,8969.65,6253193,17132.04,37532.99,102.83,71688.0,196.41
327,Entre 18 y 35 años,2,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,100 - 200 km,Menos de 50 €,0,Entre 10€ y 40 €,2447209,6704.68,4674169,12805.94,6275.66,17.19,11986.51,32.84
328,Entre 36 y 65 años,2,Jaén,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez cada 3 días,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €,2673653,7325.08,5106677,13990.9,14132.99,38.72,26994.0,73.96
329,Entre 18 y 35 años,3,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Nunca!,1 vez cada 3 días,100 - 200 km,Entre 50 y 100 €,0,Entre 10€ y 40 €,2639486,7231.47,5041418,13812.1,29675.66,81.3,56680.51,155.29
330,Entre 18 y 35 años,2,Lugo,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,No,A veces,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,3304191,9052.58,6311004,17290.42,142970.66,391.7,273073.96,748.15
331,Entre 18 y 35 años,3,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,0,Ni idea!,3082136,8444.21,5886880,16128.44,14132.99,38.72,26994.0,73.96
332,Entre 18 y 35 años,3,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,A veces,Si,A veces,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2752187,7540.24,5256678,14401.86,143837.33,394.07,274729.29,752.68
333,Entre 36 y 65 años,4,Cantabria,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2533303,6940.56,4838609,13256.46,612.99,1.68,1170.8,3.21
334,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez a la semana,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2548818,6983.06,4868242,13337.65,137307.99,376.19,262258.25,718.52
335,Entre 18 y 35 años,4,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,40,Entre 10€ y 40 €,2599997,7123.28,4965994,13605.46,37532.99,102.83,71688.0,196.41
336,Entre 36 y 65 años,1,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,20,Menos de 10 €,2456027,6728.84,4691012,12852.09,14132.99,38.72,26994.0,73.96
337,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,3327332,9115.98,6355204,17411.52,137307.99,376.19,262258.25,718.52
338,Entre 36 y 65 años,2,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,No,A veces,1 vez al día,Menos de 100 km,Menos de 50 €,0,Menos de 10 €,3167363,8677.71,6049663,16574.42,143295.66,392.59,273694.71,749.85
339,Entre 18 y 35 años,1,Valencia,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Ni idea!,2751646,7538.76,5255643,14399.02,143295.66,392.59,273694.71,749.85
340,Entre 36 y 65 años,3,Asturias,Ayudar al ecosistema,Más de 15 minutos,Más de 5,1 vez al día,A veces,No,Nunca!,1 vez al día,No uso coche,No tengo mascota,150,Ni idea!,3209534,8793.24,6130210,16795.1,46683.99,127.9,89166.43,244.29
341,Entre 36 y 65 años,3,Madrid,Ahorrar agua,Entre 11 y 15 minutos,Entre 3 y 5 veces,1 vez al día,A veces,Si,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2593171,7104.58,4952957,13569.75,30217.33,82.79,57715.09,158.12
342,Entre 18 y 35 años,2,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez al día,100 - 200 km,Entre 50 y 100 €,0,Menos de 10 €,3255621,8919.51,6218235,17036.26,19470.66,53.34,37188.96,101.89
343,Entre 36 y 65 años,4,Zaragoza,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2606555,7141.25,4978519,13639.78,42870.66,117.45,81882.96,224.34
344,Entre 36 y 65 años,4,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,A veces,No,Siempre,1 vez a la semana,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2418516,6626.07,4619365,12655.79,6275.66,17.19,11986.51,32.84
345,Entre 18 y 35 años,3,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez cada 3 días,Más de 200 km,No tengo mascota,0,Menos de 10 €,2697053,7389.19,5151371,14113.35,37532.99,102.83,71688.0,196.41
346,Entre 36 y 65 años,1,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez a la semana,100 - 200 km,No tengo mascota,80,Entre 10€ y 40 €,2502188,6855.31,4779179,13093.64,13807.99,37.83,26373.25,72.26
347,Entre 18 y 35 años,3,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,100 - 200 km,Entre 50 y 100 €,15,Ni idea!,2645243,7247.24,5052414,13842.23,37532.99,102.83,71688.0,196.41
348,Entre 18 y 35 años,1,Barcelona,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,3297798,9035.06,6298794,17256.97,137307.99,376.19,262258.25,718.52
349,Entre 36 y 65 años,2,Vizcaya,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,Más de 200 km,Entre 50 y 100 €,0,Menos de 10 €,2819823,7725.54,5385862,14755.79,161032.99,441.19,307573.0,842.67
350,Mayor de 65 años,3,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Ni idea!,2569493,7039.71,4907732,13445.84,37532.99,102.83,71688.0,196.41
351,Entre 36 y 65 años,2,Girona,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,Más de 200 km,Menos de 50 €,0,Más de 40 €,3132576,8582.4,5983221,16392.39,14132.99,38.72,26994.0,73.96
352,Entre 18 y 35 años,1,Barcelona,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2701317,7400.87,5159515,14135.66,137632.99,377.08,262879.0,720.22
353,Entre 18 y 35 años,4,Barcelona,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,No,A veces,1 vez al día,No uso coche,Menos de 50 €,0,Menos de 10 €,3137099,8594.79,5991859,16416.05,143295.66,392.59,273694.71,749.85
354,Entre 36 y 65 años,1,Segovia,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,A veces,1 vez a la semana,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €,2687703,7363.57,5133513,14064.42,148633.33,407.21,283889.67,777.78
355,Mayor de 65 años,2,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €,2552161,6992.22,4874627,13355.14,19470.66,53.34,37188.96,101.89
356,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,1100,Más de 40 €,2417000,6621.92,4616471,12647.86,14132.99,38.72,26994.0,73.96
357,Entre 18 y 35 años,3,Barcelona,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2606150,7140.14,4977746,13637.66,43195.66,118.34,82503.71,226.04
358,Entre 36 y 65 años,6,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,1 vez al día,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2603297,7132.32,4972297,13622.73,39612.99,108.53,75660.8,207.29
359,Entre 36 y 65 años,3,Cádiz,Ayudar al ecosistema,Más de 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez a la semana,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €,2259635,6190.78,4315902,11824.39,15541.32,42.58,29683.92,81.33
360,Entre 36 y 65 años,4,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2621428,7181.99,5006927,13717.61,13807.99,37.83,26373.25,72.26
361,Entre 18 y 35 años,2,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,No sabía que existía ese modo,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2575622,7056.5,4919439,13477.91,11938.33,32.71,22802.22,62.47
362,Entre 18 y 35 años,5,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,100,Más de 40 €,2600032,7123.38,4966061,13605.65,37207.99,101.94,71067.25,194.7
363,Entre 36 y 65 años,2,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!,2705925,7413.49,5168316,14159.77,142970.66,391.7,273073.96,748.15
364,Entre 36 y 65 años,5,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,1 vez al día,A veces,No,Nunca!,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €,2655086,7274.21,5071214,13893.74,45275.66,124.04,86476.51,236.92
365,Entre 18 y 35 años,3,Segovia,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Ni idea!,3228692,8845.73,6166802,16895.35,37207.99,101.94,71067.25,194.7
366,Entre 18 y 35 años,3,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2582020,7074.03,4931658,13511.39,19795.66,54.23,37809.71,103.59
367,Entre 36 y 65 años,2,Asturias,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,No uso coche,No tengo mascota,0,Ni idea!,2426048,6646.71,4633752,12695.21,13807.99,37.83,26373.25,72.26
368,Entre 36 y 65 años,3,Cantabria,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,A veces,1 vez al día,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €,3316996,9087.66,6335462,17357.43,29675.66,81.3,56680.51,155.29
369,Entre 36 y 65 años,4,Madrid,Ahorrar dinero,Más de 15 minutos,Más de 5,1 vez al día,No sabía que existía ese modo,No,A veces,1 vez al día,Más de 200 km,Menos de 50 €,1100,Más de 40 €,3178850,8709.18,6071604,16634.53,52346.67,143.42,99982.13,273.92
370,Entre 36 y 65 años,2,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €,2606150,7140.14,4977746,13637.66,43195.66,118.34,82503.71,226.04
371,Mayor de 65 años,2,Valladolid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Menos de 10 €,2627821,7199.51,5019137,13751.06,19470.66,53.34,37188.96,101.89
372,Entre 36 y 65 años,4,Cádiz,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Más de 40 €,3228287,8844.62,6166028,16893.23,37532.99,102.83,71688.0,196.41
373,Entre 36 y 65 años,1,Cantabria,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez al día,100 - 200 km,No tengo mascota,0,Menos de 10 €,3251013,8906.88,6209435,17012.15,14132.99,38.72,26994.0,73.96
